Matched nick	Level	Country	Is Payer	Duplicate?
Sapyen	110	ES	Yes	
Pastagas40	62	FR	Yes	
MihaiMirceaF	110	RO	Yes	
JacknaBox-Napier	110	AU	Yes	
wiil1ttleman	91	US	Yes	
				
SERFUJE	32	PL	Yes	
Ankun6205	38	MA	No	
Irishfourleafclover	95	CA	Yes	
				
f1lipekXDXD	16	PL	Yes	
SupaUgandanFisha	84	SG	Yes	
Frankthetank	5		No	
YSTREB	74		Yes	
ShrubnSE	100	US	Yes	
AnatoliyRivne	100	UA	Yes	
fuciorek	89	PL	Yes	
MagnesiumVerla	107	DE	Yes	
DecendsTv	101	US	Yes	
teocorodan	61	RO	Yes	
CezarXX8471	94	DE	Yes	
				
Novo_Do_Rio	109	BR	Yes	
Mr.TsunamiKozak	73	NO	No	
BEYONDxxHELP	100	US	Yes	
				
Gonzo1964	105	CA	Yes	
				
chef-YT	108	FR	Yes	
concha	2	AR	No	
Fischgarten	103	DE	Yes	
Arktyczny-Wojo	110	PL	Yes	
wsll	64	UA	Yes	
hisoka2906	80	BE	Yes	
Makos	14		No	
paweltiger	110	PL	Yes	
ANAMNESIS2012	43	US	Yes	
thornwell8150	61	US	Yes	
				
KPYTOY	38	UA	Yes	
carlitostevez74	106	IT	Yes	
				
				
				
metranox	18		No	
Ekbalam	37	GR	Yes	
FootMeat	85	US	No	
				
HunQiii-	89	FI	Yes	
fisheye_07	64	AT	Yes	
Nqwebasaurus	37	IT	Yes	
dommer111	51	IE	Yes	
Loki1971	81	GB	Yes	
DJHERBAL	56	HU	Yes	
River_Ninja77	99	DE	Yes	
SeeraS	58	NA	Yes	
Lilstumpy328	49	US	Yes	
PalQ	110	BG	Yes	
Bcope	110	US	Yes	
Agusstincitoo	102	AR	Yes	
G.R.A.F	100	UA	Yes	
THEmajicCARPET	35	US	Yes	
SilenaJustyna	110	PL	Yes	
niiglo77	110	FR	Yes	
MuzioreQ	95	PL	Yes	
kulson26	26	PL	No	
PESCADOR_TRAIRAO	79	BR	Yes	
sishol	95	US	Yes	
damp	4	GB	No	
SeaBaby	110		Yes	
FavoriteUSA	110	US	Yes	
Salvacrack7	94	ES	Yes	
