n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
14,15,17,218,26,0.11926605504587157,0.3058823529411765,0.1716171617161716
14,15,18,215,26,0.12093023255813953,0.3058823529411765,0.17333333333333334
14,15,19,211,25,0.11848341232227488,0.29411764705882354,0.16891891891891894
14,15,20,208,25,0.1201923076923077,0.29411764705882354,0.1706484641638225
14,15,21,207,24,0.11594202898550725,0.2823529411764706,0.1643835616438356
14,15,22,207,24,0.11594202898550725,0.2823529411764706,0.1643835616438356
14,15,23,207,24,0.11594202898550725,0.2823529411764706,0.1643835616438356
14,15,24,207,24,0.11594202898550725,0.2823529411764706,0.1643835616438356
14,15,25,207,24,0.11594202898550725,0.2823529411764706,0.1643835616438356
14,15,26,206,24,0.11650485436893204,0.2823529411764706,0.16494845360824745
14,15,27,206,24,0.11650485436893204,0.2823529411764706,0.16494845360824745
14,15,28,206,24,0.11650485436893204,0.2823529411764706,0.16494845360824745
14,15,29,206,24,0.11650485436893204,0.2823529411764706,0.16494845360824745
14,15,30,206,24,0.11650485436893204,0.2823529411764706,0.16494845360824745
14,16,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,16,4,1550,59,0.03806451612903226,0.6941176470588235,0.07217125382262997
14,16,5,1126,55,0.04884547069271759,0.6470588235294118,0.09083402146985961
14,16,6,841,49,0.05826397146254459,0.5764705882352941,0.10583153347732181
14,16,7,655,46,0.07022900763358779,0.5411764705882353,0.12432432432432433
14,16,8,520,43,0.08269230769230769,0.5058823529411764,0.1421487603305785
14,16,9,423,40,0.09456264775413711,0.47058823529411764,0.15748031496062992
14,16,10,360,34,0.09444444444444444,0.4,0.15280898876404495
14,16,11,315,29,0.09206349206349207,0.3411764705882353,0.14500000000000002
14,16,12,284,29,0.10211267605633803,0.3411764705882353,0.15718157181571818
14,16,13,258,28,0.10852713178294573,0.32941176470588235,0.16326530612244897
14,16,14,235,28,0.11914893617021277,0.32941176470588235,0.17500000000000002
14,16,15,220,27,0.12272727272727273,0.3176470588235294,0.17704918032786884
14,16,16,211,26,0.12322274881516587,0.3058823529411765,0.17567567567567569
14,16,17,205,26,0.12682926829268293,0.3058823529411765,0.1793103448275862
14,16,18,201,26,0.12935323383084577,0.3058823529411765,0.18181818181818185
14,16,19,196,25,0.12755102040816327,0.29411764705882354,0.17793594306049823
14,16,20,193,25,0.12953367875647667,0.29411764705882354,0.17985611510791366
14,16,21,190,24,0.12631578947368421,0.2823529411764706,0.17454545454545453
14,16,22,190,24,0.12631578947368421,0.2823529411764706,0.17454545454545453
14,16,23,189,24,0.12698412698412698,0.2823529411764706,0.1751824817518248
14,16,24,189,24,0.12698412698412698,0.2823529411764706,0.1751824817518248
14,16,25,189,24,0.12698412698412698,0.2823529411764706,0.1751824817518248
14,16,26,188,24,0.1276595744680851,0.2823529411764706,0.1758241758241758
14,16,27,188,24,0.1276595744680851,0.2823529411764706,0.1758241758241758
14,16,28,187,24,0.12834224598930483,0.2823529411764706,0.17647058823529413
14,16,29,187,24,0.12834224598930483,0.2823529411764706,0.17647058823529413
14,16,30,187,24,0.12834224598930483,0.2823529411764706,0.17647058823529413
14,17,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,17,4,1550,59,0.03806451612903226,0.6941176470588235,0.07217125382262997
14,17,5,1126,55,0.04884547069271759,0.6470588235294118,0.09083402146985961
14,17,6,841,49,0.05826397146254459,0.5764705882352941,0.10583153347732181
14,17,7,655,46,0.07022900763358779,0.5411764705882353,0.12432432432432433
14,17,8,520,43,0.08269230769230769,0.5058823529411764,0.1421487603305785
14,17,9,423,40,0.09456264775413711,0.47058823529411764,0.15748031496062992
14,17,10,360,34,0.09444444444444444,0.4,0.15280898876404495
14,17,11,312,29,0.09294871794871795,0.3411764705882353,0.14609571788413098
14,17,12,280,29,0.10357142857142858,0.3411764705882353,0.1589041095890411
14,17,13,251,28,0.11155378486055777,0.32941176470588235,0.16666666666666666
14,17,14,228,28,0.12280701754385964,0.32941176470588235,0.17891373801916932
14,17,15,213,27,0.1267605633802817,0.3176470588235294,0.18120805369127516
14,17,16,203,26,0.12807881773399016,0.3058823529411765,0.18055555555555555
14,17,17,196,26,0.1326530612244898,0.3058823529411765,0.18505338078291816
14,17,18,192,26,0.13541666666666666,0.3058823529411765,0.18772563176895307
14,17,19,187,25,0.13368983957219252,0.29411764705882354,0.1838235294117647
14,17,20,183,25,0.1366120218579235,0.29411764705882354,0.18656716417910452
14,17,21,179,23,0.12849162011173185,0.27058823529411763,0.17424242424242425
14,17,22,178,23,0.12921348314606743,0.27058823529411763,0.17490494296577946
14,17,23,177,23,0.12994350282485875,0.27058823529411763,0.17557251908396948
14,17,24,177,23,0.12994350282485875,0.27058823529411763,0.17557251908396948
14,17,25,177,23,0.12994350282485875,0.27058823529411763,0.17557251908396948
14,17,26,176,23,0.13068181818181818,0.27058823529411763,0.17624521072796934
14,17,27,176,23,0.13068181818181818,0.27058823529411763,0.17624521072796934
14,17,28,175,23,0.13142857142857142,0.27058823529411763,0.17692307692307693
14,17,29,175,23,0.13142857142857142,0.27058823529411763,0.17692307692307693
14,17,30,175,23,0.13142857142857142,0.27058823529411763,0.17692307692307693
14,18,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,18,4,1550,59,0.03806451612903226,0.6941176470588235,0.07217125382262997
14,18,5,1126,55,0.04884547069271759,0.6470588235294118,0.09083402146985961
14,18,6,840,49,0.058333333333333334,0.5764705882352941,0.10594594594594593
14,18,7,654,46,0.07033639143730887,0.5411764705882353,0.12449255751014884
14,18,8,519,43,0.08285163776493257,0.5058823529411764,0.1423841059602649
14,18,9,421,40,0.09501187648456057,0.47058823529411764,0.15810276679841898
14,18,10,358,34,0.09497206703910614,0.4,0.15349887133182843
14,18,11,310,29,0.0935483870967742,0.3411764705882353,0.1468354430379747
14,18,12,278,29,0.10431654676258993,0.3411764705882353,0.15977961432506887
14,18,13,249,28,0.11244979919678715,0.32941176470588235,0.16766467065868265
14,18,14,226,28,0.12389380530973451,0.32941176470588235,0.180064308681672
14,18,15,211,27,0.12796208530805686,0.3176470588235294,0.1824324324324324
14,18,16,200,26,0.13,0.3058823529411765,0.1824561403508772
14,18,17,193,26,0.13471502590673576,0.3058823529411765,0.18705035971223022
14,18,18,187,26,0.13903743315508021,0.3058823529411765,0.1911764705882353
14,18,19,182,25,0.13736263736263737,0.29411764705882354,0.18726591760299627
14,18,20,178,25,0.1404494382022472,0.29411764705882354,0.19011406844106465
14,18,21,174,23,0.13218390804597702,0.27058823529411763,0.1776061776061776
14,18,22,173,23,0.1329479768786127,0.27058823529411763,0.17829457364341084
14,18,23,172,23,0.13372093023255813,0.27058823529411763,0.17898832684824903
14,18,24,172,23,0.13372093023255813,0.27058823529411763,0.17898832684824903
14,18,25,172,23,0.13372093023255813,0.27058823529411763,0.17898832684824903
14,18,26,171,23,0.13450292397660818,0.27058823529411763,0.17968749999999997
14,18,27,171,23,0.13450292397660818,0.27058823529411763,0.17968749999999997
14,18,28,170,23,0.13529411764705881,0.27058823529411763,0.18039215686274507
14,18,29,170,23,0.13529411764705881,0.27058823529411763,0.18039215686274507
14,18,30,170,23,0.13529411764705881,0.27058823529411763,0.18039215686274507
14,19,3,2328,65,0.027920962199312716,0.7647058823529411,0.05387484459179445
14,19,4,1550,59,0.03806451612903226,0.6941176470588235,0.07217125382262997
14,19,5,1126,55,0.04884547069271759,0.6470588235294118,0.09083402146985961
14,19,6,840,49,0.058333333333333334,0.5764705882352941,0.10594594594594593
14,19,7,654,46,0.07033639143730887,0.5411764705882353,0.12449255751014884
14,19,8,519,43,0.08285163776493257,0.5058823529411764,0.1423841059602649
14,19,9,421,40,0.09501187648456057,0.47058823529411764,0.15810276679841898
14,19,10,357,34,0.09523809523809523,0.4,0.15384615384615385
14,19,11,309,29,0.09385113268608414,0.3411764705882353,0.14720812182741116
14,19,12,277,29,0.10469314079422383,0.3411764705882353,0.16022099447513813
14,19,13,248,28,0.11290322580645161,0.32941176470588235,0.16816816816816818
14,19,14,225,28,0.12444444444444444,0.32941176470588235,0.18064516129032257
14,19,15,210,27,0.12857142857142856,0.3176470588235294,0.1830508474576271
14,19,16,199,26,0.1306532663316583,0.3058823529411765,0.1830985915492958
14,19,17,192,26,0.13541666666666666,0.3058823529411765,0.18772563176895307
